Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	DHN	EFFICIENCY	GRID	AMMONIA_TO_H2	ATM_CCS	BIOMETHANATION	BIO_HYDROLYSIS	GASIFICATION_SNG	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 9 	 3										5.224289																																										-0.000001	-0.000001																																																					-0.000001	-5.224287																																																											0.000000	
 9 	 4										5.224289																																										-0.000000	-0.000001																																																					-0.000001	-5.224287																																																											0.000000	
 9 	 5										5.224289																																										-0.000001	-0.000001																																																					-0.000001	-5.224287																																																											0.000000	
 9 	 6										5.224296																																										-0.000001	-0.000001																																																					-0.000001	-5.224294																																																											0.000000	
 9 	 7										5.224296																																										-0.000001	-0.000001																																																					-0.000001	-5.224294																																																											0.000000	
 9 	 8										5.224296																																										-0.000000	-0.000000																																																					-0.000001	-5.224294																																																											0.000000	
 9 	 9										1.779187																																										-0.000000	-0.000000																																																					-0.000001	-1.779186																																																											0.000000	
 9 	 10										0.000032																																										-0.000000	-0.000000																																																					-0.000001	-0.000030																																																											0.000000	
 9 	 11										0.000009																																										-0.000000	-0.000000																																																					-0.000001	-0.000007																																																											0.000000	
 9 	 12										0.000009																																										-0.000000	-0.000000																																																					-0.000001	-0.000007																																																											0.000000	
 9 	 13										0.000008																																										-0.000000	-0.000000																																																					-0.000001	-0.000007																																																											0.000000	
 9 	 14										0.000009																																										-0.000000	-0.000000																																																					-0.000001	-0.000007																																																											0.000000	
 9 	 15										3.533398																																										-0.000000	-0.000000																																																					-0.000001	-3.533396																																																											0.000000	
 9 	 16										3.764373																																										-0.000000	-0.000000																																																					-0.000001	-3.764371																																																											0.000000	
 9 	 17										5.224296																																										-0.000001	-0.000001																																																					-0.000001	-5.224294																																																											0.000000	
 9 	 18										5.224296																																										-0.000001	-0.000001																																																					-0.000001	-5.224294																																																											0.000000	
 9 	 19										5.224296																																										-0.000000	-0.000001																																																					-0.000001	-5.224294																																																											0.000000	
 9 	 20										5.224296																																										-0.000000	-0.000001																																																					-0.000001	-5.224294																																																											0.000000	
 9 	 21										5.224289																																										-0.000000	-0.000001																																																					-0.000001	-5.224287																																																											0.000000	
 9 	 22										5.224289																																										-0.000000	-0.000001																																																					-0.000001	-5.224287																																																											0.000000	
 9 	 23										5.224289																																										-0.000000	-0.000001																																																					-0.000001	-5.224287																																																											0.000000	
 9 	 24										5.224289																																										-0.000000	-0.000001																																																					-0.000001	-5.224287																																																											0.000000	
 10 	 1										5.224288																																										-0.000015	-0.000014																																																					-0.000008	-5.224251																																																											0.000000	
 10 	 2										5.224280																																										-0.000011	-0.000009																																																					-0.000008	-5.224252																																																											0.000000	
 10 	 3										5.224276																																										-0.000007	-0.000009																																																					-0.000008	-5.224253																																																											0.000000	
 10 	 4										5.224291																																										-0.000016	-0.000015																																																					-0.000008	-5.224253																																																											0.000000	
 10 	 5										5.224291																																										-0.000016	-0.000015																																																					-0.000008	-5.224253																																																											0.000000	
 10 	 6										5.224291																																										-0.000016	-0.000015																																																					-0.000008	-5.224253																																																											0.000000	
 10 	 7										5.224275																																										-0.000013	-0.000012																																																					-0.000008	-5.224243																																																											0.000000	
 10 	 8										5.224256																																										-0.000012	-0.000010																																																					-0.000008	-5.224226																																																											0.000000	
 10 	 9										0.000247																																										-0.000008	-0.000005																																																					-0.000008	-0.000226																																																											0.000000	
 10 	 10										0.000244																																										-0.000008	-0.000005																																																					-0.000008	-0.000222																																																											0.000000	
 10 	 11										0.000241																																										-0.000008	-0.000005																																																					-0.000008	-0.000220																																																											0.000000	
 10 	 12										0.000241																																										-0.000008	-0.000005																																																					-0.000008	-0.000220																																																											0.000000	
 10 	 13										0.000243																																										-0.000008	-0.000005																																																					-0.000008	-0.000221																																																											0.000000	
 10 	 14										0.000225																																										-0.000008	-0.000005																																																					-0.000008	-0.000203																																																											0.000000	
 10 	 15										5.224254																																										-0.000012	-0.000010																																																					-0.000008	-5.224224																																																											0.000000	
 10 	 16										5.224271																																										-0.000013	-0.000011																																																					-0.000008	-5.224240																																																											0.000000	
 10 	 17										5.224276																																										-0.000013	-0.000011																																																					-0.000008	-5.224243																																																											0.000000	
 10 	 18										5.224276																																										-0.000013	-0.000012																																																					-0.000008	-5.224243																																																											0.000000	
 10 	 19										5.224275																																										-0.000013	-0.000012																																																					-0.000008	-5.224243																																																											0.000000	
 10 	 20										5.224277																																										-0.000013	-0.000012																																																					-0.000008	-5.224243																																																											0.000000	
 10 	 21										5.224284																																										-0.000014	-0.000013																																																					-0.000008	-5.224250																																																											0.000000	
 10 	 22										5.224284																																										-0.000014	-0.000013																																																					-0.000008	-5.224250																																																											0.000000	
 10 	 23										5.224281																																										-0.000014	-0.000013																																																					-0.000008	-5.224246																																																											0.000000	
 10 	 24										5.224282																																										-0.000014	-0.000013																																																					-0.000008	-5.224247																																																											0.000000	
 11 	 1										5.224263																																										-0.000007	-0.000006																																																					-0.000007	-5.224244																																																											0.000000	
 11 	 2										5.224264																																										-0.000007	-0.000006																																																					-0.000007	-5.224245																																																											0.000000	
 11 	 3										5.224261																																										-0.000005	-0.000004																																																					-0.000007	-5.224245																																																											0.000000	
 11 	 4										5.224264																																										-0.000007	-0.000006																																																					-0.000007	-5.224245																																																											0.000000	
 11 	 5										5.224264																																										-0.000007	-0.000005																																																					-0.000007	-5.224245																																																											0.000000	
 11 	 6										5.224264																																										-0.000007	-0.000007																																																					-0.000007	-5.224244																																																											0.000000	
 11 	 7										5.224264																																										-0.000007	-0.000006																																																					-0.000007	-5.224243																																																											0.000000	
 11 	 8										0.000159																																										-0.000004	-0.000003																																																					-0.000007	-0.000144																																																											0.000000	
 11 	 9										0.000086																																										-0.000004	-0.000003																																																					-0.000007	-0.000071																																																											0.000000	
 11 	 10										0.000086																																										-0.000004	-0.000003																																																					-0.000007	-0.000071																																																											0.000000	
 11 	 11										0.000031																																										-0.000003	-0.000002																																																					-0.000007	-0.000018																																																											0.000000	
 11 	 12										0.000087																																										-0.000004	-0.000003																																																					-0.000007	-0.000072																																																											0.000000	
 11 	 13										0.000085																																										-0.000004	-0.000003																																																					-0.000007	-0.000070																																																											0.000000	
 11 	 14										0.000098																																										-0.000005	-0.000004																																																					-0.000007	-0.000082																																																											0.000000	
 11 	 15										3.636328																																										-0.000006	-0.000006																																																					-0.000007	-3.636309																																																											0.000000	
 11 	 16										3.766088																																										-0.000006	-0.000006																																																					-0.000007	-3.766069																																																											0.000000	
 11 	 17										3.766513																																										-0.000006	-0.000006																																																					-0.000007	-3.766494																																																											0.000000	
 11 	 18										2.959683																																										-0.000006	-0.000006																																																					-0.000007	-2.959664																																																											0.000000	
 11 	 19										2.316273																																										-0.000006	-0.000006																																																					-0.000007	-2.316254																																																											0.000000	
 11 	 20										1.922876																																										-0.000006	-0.000005																																																					-0.000007	-1.922858																																																											0.000000	
 11 	 21										3.633621																																										-0.000006	-0.000005																																																					-0.000007	-3.633603																																																											0.000000	
 11 	 22										5.217508																																										-0.000006	-0.000005																																																					-0.000007	-5.217490																																																											0.000000	
 11 	 23										5.219723																																										-0.000006	-0.000005																																																					-0.000007	-5.219705																																																											0.000000	
 11 	 24										5.221164																																										-0.000006	-0.000005																																																					-0.000007	-5.221147																																																											0.000000	
 12 	 1										5.224303																																										-0.000002	-0.000012																																																					-0.000002	-5.224287																																																											0.000000	
 12 	 2										5.224304																																										-0.000003	-0.000012																																																					-0.000002	-5.224287																																																											0.000000	
 12 	 3										5.224299																																										-0.000002	-0.000007																																																					-0.000002	-5.224287																																																											0.000000	
 12 	 4										5.224305																																										-0.000003	-0.000013																																																					-0.000002	-5.224287																																																											0.000000	
 12 	 5										5.224305																																										-0.000003	-0.000013																																																					-0.000002	-5.224287																																																											0.000000	
 12 	 6										5.224313																																										-0.000003	-0.000014																																																					-0.000003	-5.224294																																																											0.000000	
 12 	 7										5.224313																																										-0.000003	-0.000014																																																					-0.000003	-5.224294																																																											0.000000	
 12 	 8										5.224313																																										-0.000003	-0.000014																																																					-0.000003	-5.224294																																																											0.000000	
 12 	 9										5.224313																																										-0.000003	-0.000014																																																					-0.000003	-5.224294																																																											0.000000	
 12 	 10										5.224310																																										-0.000002	-0.000011																																																					-0.000003	-5.224293																																																											0.000000	
 12 	 11										5.224311																																										-0.000003	-0.000012																																																					-0.000003	-5.224293																																																											0.000000	
 12 	 12										5.224294																																										-0.000002	-0.000002																																																					-0.000003	-5.224287																																																											0.000000	
 12 	 13										5.224294																																										-0.000002	-0.000002																																																					-0.000003	-5.224288																																																											0.000000	
 12 	 14										5.224298																																										-0.000002	-0.000003																																																					-0.000003	-5.224291																																																											0.000000	
 12 	 15										5.224306																																										-0.000002	-0.000008																																																					-0.000003	-5.224293																																																											0.000000	
 12 	 16										5.224310																																										-0.000003	-0.000012																																																					-0.000003	-5.224293																																																											0.000000	
 12 	 17										5.224310																																										-0.000003	-0.000012																																																					-0.000003	-5.224293																																																											0.000000	
 12 	 18										5.224310																																										-0.000003	-0.000012																																																					-0.000003	-5.224293																																																											0.000000	
 12 	 19										5.224310																																										-0.000003	-0.000012																																																					-0.000003	-5.224293																																																											0.000000	
 12 	 20										5.224310																																										-0.000003	-0.000012																																																					-0.000003	-5.224293																																																											0.000000	
 12 	 21										5.224303																																										-0.000002	-0.000012																																																					-0.000002	-5.224287																																																											0.000000	
 12 	 22										5.224303																																										-0.000002	-0.000012																																																					-0.000002	-5.224287																																																											0.000000	
 12 	 23										5.224303																																										-0.000002	-0.000012																																																					-0.000002	-5.224287																																																											0.000000	
 12 	 24										5.224303																																										-0.000002	-0.000012																																																					-0.000002	-5.224287																																																											0.000000	
